Email No.,the,to,ect,and,for,of,a,you,hou,in,on,is,this
Email 2933,2,4,1,1,0,1,20,2,0,1,5,2,0
Email 2934,0,2,3,0,5,0,19,0,1,0,4,4,0
Email 2935,6,1,1,0,3,0,26,1,0,6,7,4,1
Email 2936,2,2,2,0,1,0,19,1,2,6,6,1,0
Email 2937,2,4,10,0,4,3,51,1,4,5,5,5,3
Email 2938,5,3,10,6,5,2,67,2,2,4,9,5,1
Email 2939,4,2,2,0,2,2,9,3,1,5,4,2,0
Email 2940,0,0,1,0,0,0,5,0,0,0,1,0,0
Email 2941,2,2,3,2,0,0,10,0,0,2,3,0,0
Email 2942,2,2,2,0,1,2,27,0,0,12,1,1,0
Email 2943,0,0,1,1,1,0,6,0,0,1,2,1,0
Email 2944,1,2,2,0,3,3,16,1,0,3,4,3,0
Email 2945,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2946,0,0,1,0,1,0,15,0,0,0,5,0,0
Email 2947,2,1,1,2,1,0,52,0,0,6,3,0,0
Email 2948,4,5,1,1,0,4,18,13,0,7,11,1,0
Email 2949,5,3,10,6,5,2,67,2,2,4,9,5,1
Email 2950,0,0,1,0,0,0,5,0,0,0,1,0,0
Email 2951,43,24,1,3,4,2,108,3,3,20,33,10,4
Email 2952,1,4,8,2,3,1,44,5,3,4,14,0,0
Email 2953,0,1,2,1,0,1,38,0,0,1,6,3,0
Email 2954,14,1,16,0,13,4,61,0,7,15,31,1,0
Email 2955,30,17,1,16,13,20,170,16,2,42,47,23,6
Email 2956,2,2,2,0,2,2,10,0,0,2,2,2,0
Email 2957,1,0,1,0,0,1,9,1,0,1,3,0,0
Email 2958,8,0,1,0,7,2,25,0,0,6,5,0,0
Email 2959,0,1,5,0,1,0,10,0,2,0,2,2,0
Email 2960,0,0,1,0,0,0,4,0,0,0,1,0,0
Email 2961,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2962,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 2963,4,7,9,6,4,1,80,12,3,10,19,8,5
Email 2964,1,2,4,0,2,0,23,0,2,7,10,2,1
Email 2965,0,9,3,0,1,0,22,0,1,0,14,4,0
Email 2966,6,3,1,2,3,0,26,2,0,4,10,5,1
Email 2967,8,2,3,5,2,4,37,1,0,11,3,6,2
Email 2968,4,3,1,1,2,0,11,1,0,1,2,0,0
Email 2969,1,1,1,0,1,0,18,1,0,2,2,1,0
Email 2970,0,0,1,0,1,0,2,0,0,0,0,0,0
Email 2971,0,6,4,3,1,17,80,0,0,14,17,4,0
Email 2972,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 2973,1,1,1,0,1,0,6,0,0,1,1,0,0
Email 2974,12,15,1,6,2,8,66,2,6,11,21,10,2
Email 2975,17,2,31,0,18,5,95,0,14,24,56,2,0
Email 2976,6,2,1,0,1,1,30,3,1,4,2,0,0
Email 2977,5,1,1,0,1,0,30,1,0,5,4,1,0
Email 2978,0,0,1,0,1,2,17,0,0,3,2,3,1
Email 2979,0,0,1,0,1,0,2,0,0,0,1,0,0
Email 2980,0,0,1,0,1,0,5,0,0,0,2,0,0
Email 2981,1,3,1,0,1,0,32,1,0,6,4,1,0
Email 2982,0,0,1,0,1,0,2,0,0,0,1,0,0
Email 2983,4,4,25,0,5,2,44,1,12,11,7,5,0
